Flow,Speed,Density
2634.269974,77.47852863,34
2474.806858,77.33771431,32
2162.580641,77.23502288,28
2779.366434,77.20462317,36
2312.71731,77.09057699,30
2002.701232,77.02697045,26
2915.541787,76.72478387,38
1838.883136,76.62013065,24
1682.614481,76.48247643,22
916.339003,76.36158358,12
3052.946848,76.32367121,40
1520.718054,76.03590272,20
1063.946996,75.99621399,14
3189.918563,75.95044198,42
1212.517001,75.78231258,16
1363.169362,75.73163121,18
757.1513435,75.71513435,10
3323.012068,75.52300156,44
3455.965295,75.12968033,46
448.7113797,74.78522994,6
3576.53848,74.51121834,48
4023.218959,74.50405479,54
3722.682346,74.45364692,50
595.4367667,74.42959583,8
3867.344721,74.37201386,52
4110.762617,73.4064753,56
5712.513088,73.23734729,78
5535.740612,72.83869226,76
4949.782577,72.79092024,68
4650.286025,72.66071914,64
5374.7354,72.63155946,74
5075.17691,72.50252728,70
5218.979699,72.48582916,72
4774.71283,72.34413378,66
5782.42167,72.28027087,80
5863.214528,71.50261619,82
4134.985219,71.2928486,58
4403.853921,71.02990196,62
4258.902198,70.9817033,60
5950.036029,70.83376225,84
6044.524822,70.28517235,86
6464.055281,70.26147044,92
6174.522264,70.16502573,88
6257.599147,69.52887941,90
6523.570331,69.39968437,94
6642.505441,69.19276501,96
6646.960781,67.82613042,98
6784.338038,66.51311802,102
6645.299901,66.45299901,100
6860.06165,65.96213125,104
6998.263196,64.7987333,108
6821.608391,64.35479614,106
6924.325178,62.94841071,110
6696.762482,59.79252216,112
6815.234014,59.78275451,114
6851.854993,59.06771546,116
6787.527085,57.52141598,118
6877.004512,57.30837093,120
6760.989033,55.41794289,122
6626.738413,53.44143882,124
6690.755326,53.10123275,126
6625.691001,51.76321095,128
6571.333397,49.78282876,132
6456.626233,49.66635564,130
6501.808839,48.52096148,134
6464.299802,47.53161619,136
6373.383396,46.18393765,138
6518.577847,45.90547779,142
6389.508191,45.63934422,140
6384.641489,43.73042116,146
6280.025149,43.61128575,144
6306.517566,42.61160517,148
6206.095576,41.37397051,150
6104.851302,40.16349541,152
6140.417249,39.87283928,154
6065.330513,38.8803238,156
6063.163535,37.8947721,160
6096.450416,37.63240998,162
5924.579073,37.4973359,158
5918.525302,36.08856891,164
5927.793095,35.70959696,166
5916.962811,35.22001673,168
5908.440788,34.75553405,170
5913.880339,34.38302522,172
5870.228612,33.73694604,174
5820.440606,32.69910453,178
5705.965664,32.42025946,176
5749.862956,31.5926536,182
5664.717654,31.47065363,180
5642.434094,30.33566717,186
5565.157395,30.24542063,184
5564.36639,29.59769356,188
5434.162063,28.60085296,190
5407.06388,28.16179104,192
5458.355799,27.84875408,196
5340.992213,27.53088769,194
5356.006721,27.05053899,198
5316.642267,26.06197189,204
5142.724463,25.71362231,200
5062.791435,25.06332393,202
5013.384621,24.33681855,206
5078.493666,24.18330317,210
5213.814228,23.91657903,218
4884.755843,23.48440309,208
4958.334493,23.38837025,212
5024.547214,22.63309556,222
4616.550251,21.57266472,214
4826.945241,21.54886268,224
4711.239781,21.41472628,220
4593.331812,21.26542506,216
4409.23489,19.17058648,230
4278.980778,18.93354326,226
4393.487267,18.77558661,234
3945.206929,17.30353916,228
4173.28817,16.82777488,248
4136.587522,16.03328497,258
3905.663853,15.25649942,256
3537.773056,15.24902179,232
3650.818261,14.84072464,246
3554.308516,14.56683818,244
3533.17596,14.13270384,250
3332.507695,13.77069296,242
3301.632597,13.10171665,252
3224.470087,12.40180803,260
3430.537165,12.16502541,282
3498.218743,11.81830656,296
3026.976498,11.46582007,264
2974.726876,11.18318374,266
2896.686579,10.80853201,268
